model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
AIBA-EHR (proposed),0.9938,0.0019,0.9947,0.0016,0.9924,0.0021,0.9935,0.0018,0.995,0.0012
CNN,0.7143,0.0083,0.8124,0.0094,0.5608,0.0102,0.6635,0.0091,0.8143,0.0074
VGG-16,0.9887,0.0028,0.9938,0.0019,0.9839,0.0033,0.9888,0.0027,0.9995,0.0004
VAE,0.6044,0.0091,0.6089,0.0104,0.5921,0.0097,0.6003,0.0097,0.6551,0.0088
IFSVM-EHR,0.9862,0.003,0.9869,0.0027,0.9855,0.0031,0.9862,0.0029,,
CNN-LSTM,0.9678,0.0041,0.9694,0.0038,0.9665,0.0044,0.9679,0.004,,
RF-KNN Ensemble,0.9607,0.0048,0.9623,0.0051,0.9594,0.0049,0.9608,0.0049,,
LSTM+Transformer,0.9771,0.0033,0.9783,0.003,0.9757,0.0035,0.977,0.0032,,
LSTM-AE,,,,,,,0.9123,0.0061,0.921,
